date,platform,account,content,topic,sentiment,risk_score,opportunity_score,likes,comments,shares,views,url,action_note,source_type,local_relevance_score,local_relevance_level,local_relevance_reason,president_decision_candidate,control_decision
2026-06-25,X / Twitter,@kepezbelediyesi,"@cimbo2020 Merhabalar,    Duacı Mahallesi’nde bulunan çöp konteynerlerine ilişkin iletmiş olduğunuz talep ve geri bildiriminiz alınmıştır.    Temizlik İşleri Müdürlüğümüz tarafından ilçemiz genelinde çöp toplama hizmetleri planlı program dahilinde her gün düzenli olarak",temizlik,negative,6,4,0,0,0,0,https://x.com/kepezbelediyesi/status/2070238785984507984,"X üzerinde riskli paylaşım tespit edildi. Yayılım, yorum tonu ve yerel basına sıçrama ihtimali izlenmeli.",Otomatik X,9,Yüksek,Kepez sinyali • Başkan / belediye bağlamı • güçlü Kepez mahalle sinyali • hizmet / şikayet / kriz bağlamı,Evet,Başkan karar aday
2026-06-25,X / Twitter,@mhpantalyail,"Aziz dava arkadaşlarım…  Liderimiz, Genel Başkanımız Sayın Devlet Bahçeli Beyefendi’nin talimatları ile Antalya teşkilatlarımızın ilçe kongreleri, 27 Haziran cumartesi günü Kepez İlçemizle başlayarak, 12 Temmuz Pazar günü  Korkuteli İlçemizle tamamlanacaktır.  Kaş’tan https://t.co/1XE3vy0Acc",Kepez + dava,neutral,4,2,11,0,7,0,https://x.com/mhpantalyail/status/2070152964015075559,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik X,7,Orta,Kepez sinyali • Antalya sinyali • Başkan / belediye bağlamı • hizmet / şikayet / kriz bağlamı,Hayır,Ekip kontrolü
2026-06-25,X / Twitter,@kepezhaber7,"İbn-i Sina Caddesi Yenileniyor: Göksu’ya Konforlu Ulaşım  Kepez Belediyesi, Göksu Mahallesi’nde İbn-i Sina Caddesi’nde asfalt  yenileme çalışmalarına başladı Bölgeye daha güvenli ve konforlu ulaşım  hedefleniyor https://t.co/agzvYSTu1P #Kepez #İbniSinaCaddesi #Yeniyol #kepezhaber",Kepez Belediyesi + asfalt,neutral,4,2,0,0,0,0,https://x.com/kepezhaber7/status/2070081117080703131,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik X,9,Yüksek,Kepez Belediyesi / Kepez Belediye Başkanı sinyali • Başkan / belediye bağlamı • genel/zayıf mahalle sinyali • hizmet / şikayet / kriz bağlamı,Evet,Başkan karar aday
2026-06-25,X / Twitter,@mesutkocagoztr,"Kepez’imizde temiz bir geleceğin temellerini atıyor, örnek bir farkındalık hareketi başlatıyoruz.  “Temizlik Kirletmemektir” projemizle ilçemizin dört bir yanında temizlik, bakım, onarım ve bilinçlendirme çalışmalarımızı sürdürüyor; kent bilincini hep birlikte büyütüyoruz. https://t.co/rNNfn3peIl",Kepez + temizlik,neutral,4,2,67,3,13,0,https://x.com/mesutkocagoztr/status/2070068967473897601,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik X,10,Yüksek,Mesut Kocagöz sinyali • Kepez sinyali • genel/zayıf mahalle sinyali • hizmet / şikayet / kriz bağlamı,Evet,Başkan karar aday
2026-06-25,X / Twitter,@kepezbelediyesi,"@HLLDMRC1 @mesutkocagoztr Merhabalar  ,  Görüş, öneri ve talepleriniz bizim için değerlidir. Talebiniz Park ve Bahçeler Müdürlüğümüze iletilmiştir. Bununla birlikte, talep, öneri ve şikayetlerinizi bizlere daha hızlı ulaştırabilmeniz için 0 555 024 07 07 numaralı WhatsApp İhbar Hattımız üzerinden anlık",şikayet,neutral,4,4,0,0,0,0,https://x.com/kepezbelediyesi/status/2070027069866578287,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik X,10,Yüksek,Mesut Kocagöz sinyali • Kepez sinyali • Başkan / belediye bağlamı • hizmet / şikayet / kriz bağlamı,Evet,Başkan karar aday
2026-06-24,X / Twitter,@dropverte,çorap park toprak yağmur antalya のESCORT大 kepez https://t.co/hcBF3Uwgw0,Kepez + park,neutral,2,4,0,0,0,0,https://x.com/dropverte/status/2069774853175902211,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik X,6,Orta,Kepez sinyali • Antalya sinyali • hizmet / şikayet / kriz bağlamı,Hayır,Ekip kontrolü
